Job,Type,Deadline,Salary
Animal Control Officer,Full Time,Open Until Filled,"$45,228.00 per Year"
Assistant Engineer,Full Time,Open Until Filled,"$38,127 - $45,062 per Year"
Building Inspector II,Full Time,Open Until Filled,"$42,436 per Year"
City Engineer,Full Time,Open Until Filled,Not Specified
Code Inspector,Full Time,Open Until Filled,"$33,632 per Year*"
Commissioner of Public Works,Full Time,Open Until Filled,Not Specified
Crossing Guard,Part Time,Open Until Filled,$43.75 per Day
Director of Police Department Community Outreach and Recruitment,Full Time,Open Until Filled,"$66,950.00 per Year"
First Deputy Commissioner of Public Works,Full Time,Open Until Filled,"$61,730.00 per Year"
Laboratory Technician (Sanitary Services),Full Time,Open Until Filled,"$29,406.00 per Year"
Staff Accountant,Full Time,Open Until Filled,"Up to $59,000 per Year"
Street Maintainer,Full Time,Open Until Filled,$18.36 Per Hour
Water & Sewer Systems Maintainer,Full Time,Open Until Filled,$20.71 per Hour
Water Meter Repairer,Full Time,Open Until Filled,$19.11 per Hour
